Age	Poids (Kg)	Taille (cm)	Fumeur	Sexe
61	73,1	147	Oui	M
29	34,7	119	Non	F
56	68	131	Non	F
6	28	146	Non	M
20	69	164	Non	M
16	62	169	Oui	M
66	79,7	194	Oui	M
70	84	185	Oui	M
59	71,3	195	Non	F
46	56	196	Non	F
16	75	178	Non	M
50	60,1	197	Non	F
78	93,5	138	Oui	M
70	83,7	158	Oui	M
53	64,1	188	Non	F
17	61	176	Non	M
60	72,4	147	Non	F
54	64,5	180	Oui	F
47	56,8	194	Non	M
72	86,9	119	Non	M
69	83,3	118	Non	M
46	55,9	121	Oui	F
82	98,1	177	Oui	F
38	45,6	107	Non	F
63	76,1	144	Non	F
6	29	122	Non	F
55	66,1	127	Oui	F
54	65,6	159	Oui	F
14	53	163	Non	M
48	58,3	165	Non	F
33	39,5	160	Non	M
60	71,6	103	Non	F
32	38,9	193	Oui	M
10	40	135	Non	M
29	34,7	107	Non	F
8	32	137	Non	M
13	49	158	Non	F
63	75,2	110	Non	F
77	92,1	155	Non	M
39	46,7	190	Non	M
6	27	114	Non	F
73	87,8	109	Non	M
42	50,3	152	Non	M
55	65,9	200	Non	F
79	95,6	194	Non	F
14	54	165	Non	F
41	49,1	195	Non	M
11	40	139	Non	M
26	31,6	200	Non	M
8	30	130	Non	M
63	75,4	190	Non	M
57	68,6	128	Non	F
80	95,7	170	Non	M
60	71,9	161	Non	F
54	65,5	183	Non	F
72	87	107	Non	F
38	45,6	190	Non	F
47	56,3	105	Non	F
51	61,8	202	Non	M
31	37,8	175	Non	M
58	69,8	141	Non	M
56	67,9	183	Non	M
14	45	160	Non	F
64	76,4	174	Non	M
68	82,2	129	Non	F
70	84,8	202	Non	M
23	83	192	Non	M
25	30,7	204	Non	M
38	45,3	116	Non	F
23	86,5	183	Non	F
21	68	176	Non	M
38	45,3	149	Non	F
64	76,9	161	Non	F
8	28	129	Non	F
9	38	141	Non	M
12	50	148	Non	F
51	61,7	138	Non	M
15	45	168	Non	M
15	49	172	Non	M
33	40,1	175	Oui	M
18	67	178	Non	F
18	76	182	Non	F
64	77,4	154	Non	M
21	52	164	Non	M
48	57,6	135	Non	F
66	78,8	164	Non	M
79	95,2	134	Non	M
21	48	163	Oui	F
57	68,6	187	Non	F
54	65,3	193	Non	M
15	52	156	Non	M
47	56,5	173	Non	M
16	65	174	Non	F
74	89	194	Non	M
14	58	176	Non	M
13	46	150	Non	M
43	51,4	125	Non	M
66	79,1	202	Non	M
22	76	193	Non	M
47	56,9	180	Non	M
63	75,3	121	Oui	F
7	34	126	Non	M
47	56,1	147	Non	F
25	29,8	175	Oui	F
72	86,4	114	Oui	F
46	55,4	131	Non	F
43	51,4	172	Non	F
